id;erfasst_am;faellig_am;bezahl;bezahlt_am;abgeschlossen_am;kommentar
1;2021-09-30T05:35:52;2021-09-30T03:11:02;true;2021-09-29T21:29:33;2021-09-30T01:08:52;Health
2;2021-09-30T09:56:54;2021-09-30T07:25:03;true;2021-09-30T16:33:55;2021-09-29T21:29:40;Gorgeous methodologies Group
3;2021-09-29T21:58:17;2021-09-30T05:54:25;false;2021-09-29T20:24:24;2021-09-30T00:21:39;Global
4;2021-09-30T14:08:46;2021-09-30T13:02:46;true;2021-09-30T07:25:11;2021-09-30T01:16:21;Keyboard withdrawal Kwanza
5;2021-09-29T22:11:54;2021-09-30T10:06:05;true;2021-09-30T10:00:51;2021-09-29T23:47:16;Operations Mecklenburg-Vorpommern
6;2021-09-30T15:39:06;2021-09-30T14:27:48;false;2021-09-30T18:43:31;2021-09-30T12:48:26;Innovative Egyptian
7;2021-09-30T10:20:15;2021-09-30T10:14:22;true;2021-09-30T11:35:29;2021-09-29T20:39:23;XML Gorgeous
8;2021-09-30T19:28:46;2021-09-30T07:54:54;true;2021-09-30T03:11:07;2021-09-30T01:19:51;JBOD
9;2021-09-30T12:54:48;2021-09-30T18:02:04;false;2021-09-30T02:25:52;2021-09-30T17:26:25;circuit
10;2021-09-29T23:35:51;2021-09-30T16:17:00;true;2021-09-30T00:09:50;2021-09-30T10:20:52;supply-chains
