id;artikel_name;artikel_beschreibung;artikel_preis;menge
1;zero;Salvador Road;54885;48137
2;Toys;Director Sausages Chips;58430;92611
3;Bedfordshire;Computers Streets Dinar;51044;34984
4;Realigned Account purple;cross-platform;41919;31607
5;Accountability HDD;Small Multi-lateral;68508;63474
6;intuitive;Frozen neural;99635;61060
7;Enterprise-wide;Roads;19728;84105
8;Soft Keyboard function;enable;47395;4203
9;Syrien parse relationships;Afghani methodologies;48187;4501
10;Berlin;optical synergistic International;2637;9373
